pl_name,hostname,default_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,sy_dist,g_fraction,intensity_index
Kepler-307 b,Kepler-307,0,10.416,,3.21,2.1,,,,,1.084,0.98,575.581,0.3063502884,7
Kepler-307 c,Kepler-307,0,13.073,,2.72,3.9,,,,,0.99,0.95,575.581,0.7923843011,3
Kepler-307 c,Kepler-307,0,13.084,,2.7,3.9,,,,,,0.9,575.581,0.8041668057,3
Kepler-307 c,Kepler-307,0,13.084,,2.8,1.5,,,,,1.08,0.98,575.581,0.2875969394,7
Kepler-307 c,Kepler-307,0,13.084,,2.81,1.9,,,,,1.084,0.98,575.581,0.3617012627,7
Kepler-33 c,Kepler-33,0,13.176,,2.6,0.39,,,,,1.69,1.1,1209.16,0.08672153866,9
Kepler-33 d,Kepler-33,0,21.776,,4.6,4.1,,,,,,1.1,1209.16,0.2912575935,7
Kepler-33 d,Kepler-33,0,21.776,,4.58,3.91,,,,,1.69,1.1,1209.16,0.2801914411,7
Kepler-33 d,Kepler-33,0,21.776,,4.98,11.7,,,,,1.694,1.1,1209.16,0.7091469508,4
Kepler-33 e,Kepler-33,0,31.784,,3.53,5.57,,,,,1.69,1.1,1209.16,0.6719157915,4
Kepler-33 e,Kepler-33,0,31.784,,3.5,5.5,,,,,,1.1,1209.16,0.6748941512,4
Kepler-33 f,Kepler-33,0,41.029,,4,9.65,,,,,1.69,1.1,1209.16,0.9066014187,2
Kepler-33 f,Kepler-33,0,41.028,,4,9.6,,,,,,1.1,1209.16,0.901904002,2
Kepler-35 b,Kepler-35,1,131.458,0.60347,8.16,40.363,0.042,,,5606,1.0284,0.8877,1819.17,0.9111967962,2
Kepler-350 c,Kepler-350,1,17.849,,3.1,6.1,,,,,1.25,1,956.859,0.9541474874,1
Kepler-351 b,Kepler-351,0,37.053,,3.03,4.8,,,,,0.841,0.91,1083.91,0.7858959379,3
